Utterance,Start,End,Group,1,2,3,4
0,3.45,7.14,1,Even length,,,I just need to calibrate my cameras real quick
1,9.87,12.45,1,,,,Alright so
2,12.63,15.75,1,,,,The task that you are doing today is called the weights task
3,16.2,21.36,1,,,,In the first part you are going to work together to determine the weight of 5 cubes
4,22.17,24.27,1,,,,Um and then
5,24.42,27.72,1,,,,And we will tell you that this red cube on top is ten grams
6,28.74,31.32,1,Ok yeah  ,,,So uh
7,31.44,34.56,1,,,,You don't need to touch the slider on the scale don't worry about that part at all
8,35.01,36.99,1,,,,Oh
9,37.83,47.82,1,,,,So you have to place sorry please place the scales place the cubes on this worksheet where you prove that they weigh again yes
10,48.27,54.84,1,Oh and we don't touch the scale yet,,,And uh as you are filling it out if you guys can fill out the survey you will be group one
11,54.93,58.29,1,,,,Um you can touch the scale just like there's a slider
12,59.22,62.49,1,Ok so you want us to,,,But like you dont need to do anything with the slider
13,62.58,73.53,1,Use the scale to determine the weights ok cool where's the survey oh ok,,Um it's turned off,Yes um and if you guys can fill out that survey like as you go because you'll be submitting answers on there oh
14,75.81,84.3,1,Ok well it would be nine minus ten,Ok that's just ten so then  ,One,And you guys will be group one
15,86.07,89.04,1,Just like put it on,Does the slider move,,
16,90.12,92.13,1,Hold on lets just uh,,,
17,95.19,97.17,1,,,It seems pretty balanced,
18,97.56,102.03,1,Yeah ok so now we know that this is also ten,,,
19,102.39,105.87,1,Um ok so now,Ok,,
20,106.23,110.01,1,What would we maybe put that one on there too,Cool,,
21,110.16,114.24,1,And then see if there's thats twenty which is not,It's more,,
22,114.87,120.33,1,Lets try this one oh gee louise this one,,No,
23,121.2,125.01,1,Ok lets just oops sorry,,,
24,127.35,132,1,Ok so ten ten twenty,Ok so this one is probably twenty ten ten twenty,Yeah seems about twenty,
25,132.27,139.65,1,Ok so now lets start at thirty alright put one of those on there,Yeah thirty,Yes,
26,140.73,145.89,1,Ooh its looking like thirty,Probably thirty at this point,,
27,148.86,159.42,1,Ok so we got ok yeah this one is really heavy so lets do the a this and a ten,Yeah ten ten twenty thirty,Twenty thirty forty,
28,159.6,163.86,1,,,So fourty pounds,
29,164.37,171.99,1,Interesting so that's ten twenty,,Fifty pounds or pounds grams,
30,172.56,187.83,1,So we said this ones thirty I still feel like that's heavier and this one is twenty,Yeah yeah the blue dark blue one is thirty that's the larger one it's slightly heavier yeah,We can replace one of these with the twenty to get,
31,188.1,196.44,1,Ok and then put that on that one,,Sixty here,
32,198.15,202.14,1,Ten they're both,How much is the dark blue small one ten,,
33,203.49,206.37,1,Assuming that this was,Oh gosh I think I got them mixed up,,
34,207.06,210.87,1,Yeah Im thinking that it's ten ten twenty thirty,,,
35,211.29,213.93,1,So what have we done weve done forty,,,
36,214.47,216.45,1,Um,,,
37,216.63,219.06,1,And then we did fifty,It's just like slightly,,
38,219.33,221.49,1,And then we did sixty,,,
39,222.3,225.06,1,,,,
40,225.27,227.25,1,,,,
41,228.06,231.51,1,And now it stopped being too heavy,,,
42,231.54,233.52,1,So this is supposedly,,,
43,234.27,239.82,1,Thirty fourty fifty correct and it's still heavier than this thing,Fifty yeah,,
44,240.84,242.82,1,So have we done forty,,,
45,243.42,245.43,1,,,,
46,246.51,251.76,1,,,,
47,251.88,258.72,1,So thirty this is also forty right so this if forty ,Ok so that's one's twenty right,Yes,
48,260.01,263.82,1,This is fifty it's not ,,,
49,264.93,267.36,1,Yo that's close enough ok so,,,
50,267.57,272.58,1,Fifty boom,,Yeah fifty so we say yellow is fifty,
51,274.26,280.32,1,I think that's I think that's good,Yeah,And green is twenty ok so which one is blue and which one is purple,
52,281.25,286.26,1,,I think this one is purple and this one is blue,Ok so blue is ten and purple is,
53,286.56,292.47,1,Yes verify real quick but I think it is,Yes thirty,Thirty,
54,295.32,304.62,1,Yeah we got them,Yeah,Yes do you want to check real quick,
55,304.68,307.2,1,That looks good to me,,Ok  ,
56,308.28,312.3,1,Uh blue yeah so you said purple,,,
57,312.93,318.69,1,You're right,Purple is thirty red is twenty yellow is fifty,Cool,
58,318.72,321.81,1,Ok we have finished and we were correct,,,
59,321.84,323.97,1,,,,Ok awesome um
60,324.12,339.63,1,Ok definitely minimum fifty,Minimum fifty,Oh,You are now going to determine the weight of this block without the scale you will have two attempts to get the weight correctly
61,339.87,341.85,1,,,,And you can now continue
62,342.06,347.07,1,Yeah because if you feel the yellow one,,Do we get a glass of water,
63,347.1,349.08,1,,,,
64,350.73,352.71,1,Yeah,Definitely heavier,Yeah,
