Utterance,Start,End,Group,1,2,3,4
0,3.6,5.58,8,,,,
1,5.97,8.04,8,,Or is it,,
2,8.07,11.55,8,,Yeah green is for twenty,,
3,13.08,15.21,8,,,Ok so now,
4,15.45,18.21,8,,,I'll just take these off and then we can have a little bit more,
5,18.93,22.5,8,Sorry,,I am your in control ,
6,22.65,24.63,8,,,It's ok,
7,25.74,29.31,8,Can I add the red one or blue one here maybe it might be thirty,,Cause yeah,
8,32.52,35.67,8,,So twenty that's thirty,,
9,36.9,38.88,8,,,Yeah  ,
10,42.6,48.72,8,Yeah so the blue one is thirty,,I mean the fact that it's teetering back and forth it's close enough they're just increments of ten grams,
11,48.78,51.75,8,,Blue is thirty big blue is thirty,Yeah,
12,51.87,54.33,8,,,So it's thirty here,
13,56.55,64.86,8,Did we measure we didn't measure the yellow just keep one,Did we measure we didn't measure the the yellow one right we might,Oh I thought ok,
14,65.67,67.95,8,And keep the thirty,,,
15,67.98,73.95,8,,Let's try both the green ones now I mean both the big ones yeah,Let's try,
16,74.07,76.05,8,Oh that's too heavy,Too heavy,,
17,76.41,78.45,8,Try the right,,,
18,78.51,80.61,8,Keep that one,,,
19,84.75,88.17,8,,What if we do the green one and the two smaller cubes,,
20,88.53,91.26,8,,Cause that's going to be pushing that way,,
21,91.53,95.79,8,This is twenty or thirty,,Gotcha are they centered,
22,96.06,99.69,8,,Yeah I feel that way,Let's just make sure I guess they are centered these are ten,
23,100.05,106.77,8,,Green green is twenty so green is twenty and then we said this one is thirty right,Green is twenty ok green is twenty thirty yeah,
24,107.01,108.99,8,But let's see let's,,,
25,114.15,117,8,Needs more weight,,,
26,117.36,119.58,8,Let's try forty,,,
27,119.76,126.39,8,,That's too light and we know that green is equal to,,
28,126.42,128.4,8,,This one and that one,,
29,128.94,131.25,8,,So let's try this one too,,
30,132,134.91,8,Oh it's more than forty,,,
31,136.23,141.09,8,,,So let's see oh wait it's leaning now,
32,141.12,143.19,8,,,,
33,144.78,146.76,8,Between forty and fifty,,,
34,155.4,162.21,8,Yeah it's more than forty,It's definitely not staying in between right,But which one was forty I'm just,
35,162.3,164.88,8,This is thirty this is twenty,Yeah twenty,Thirty ok,
36,165.72,168.09,8,This is more than forty,So what if we do,,
37,168.21,170.67,8,But we don't and less than fifty actually,,,
