Utterance,Start,End,Group,1,2,3,4
0,1.89,3.87,5,,,,Callibrate my cameras
1,11.55,14.79,5,,,,The task you are completing today is called the weights task
2,15.48,20.04,5,,,,In the first part you are going to work together to determine the weights of the cubes in front of you
3,20.25,22.68,5,,,,I can tell you that the red cube is ten grams
4,23.58,35.19,5,,,Can we write that down,No don't write it down you can flip that piece of paper over and uh you will be placing the blocks where they go on the sheet and you will also be filling out this survey here
5,35.31,37.29,5,,,,You guys are going to be group five
6,37.71,45.87,5,,,,Um the scale is not perfect and the blocks aren't always perfect so like it might teeter but that's fine if one drops that's like what you want to look for
7,46.92,49.53,5,,,,Um and you also don't need to touch the slider at all
8,49.59,56.94,5,Where's the survey,,,Um so yeah just place the cubes on the worksheet as well as fill out the survey as you go and you guys can get started
9,57.18,59.46,5,Oh,,,It's on that computer
10,59.73,64.62,5,Alright we see we serve it on the end over there ok so we know this is ten grams,,We're group five,
11,65.43,74.13,5,So you hold that at the end of the scale yeah it goes here ok,So we know this is ten set it there for privacy,Let me reset the scale,
12,74.85,84.57,5,What's this one ok so ok so we know that that one's heavier so ok this one looks relatively the same size so should we see,We just want to go pretty pretty heavy ,It've heavy yep,
13,85.05,88.62,5,So we could put that there,,Sounds right,
14,92.25,95.19,5,I'd say that's basically the same because it's teetering,,,
15,95.79,99,5,,,Yeah if that's what we're going off of,
16,99.78,101.76,5,Yeah because it continue right,,,
17,105.42,112.17,5,Ok so yeah that scale so these are both ten,So these are both ten  ,Yeah it's an amazon scale we're fine correct,
18,112.62,119.55,5,Ok so what if if I had that is it one of those that one,,,
19,125.88,128.25,5,,,,
20,129.66,132.99,5,Yeah yeah I think that's fine,So that one's twenty,,
21,133.23,136.65,5,Ok in theory,So these are both ten in theory ten ten twenty,,
22,137.25,147.84,5,Well no red is given to you that's why you don't need well this is blue that's purple ok,Yeah so we know the blue is ten,So we have there is no red,
23,147.96,154.32,5,,The green is twenty,So the green we think is twenty ok so let's see we can use our hands as well,
24,154.47,159.75,5,This is heavier than this one so this is twenty this is heavier than this one,Which one is heavier,,
25,160.38,163.86,5,Ok let's try purple,This is definitely the heaviest,,
26,164.07,170.07,5,Ok so that's heavier ok ok so greather than twenty,It's greater than twenty,So we have twenty,
27,170.1,173.94,5,Right what if we put ten on that,So I can put one one and see if it's thirty,,
28,174.48,183.63,5,What if I do this ok so less than forty likely thirty ok,Teeter teeter we know it's less than forty and greater than twenty so it's likely thirty we don't have any other options it it's gonna be thirty,,
29,184.5,187.23,5,Yeah ok so we think purple's thirty,,Purple's thirty,
30,187.35,199.23,5,Ok and then so if I take this one off yeah thirty put that's going to be heavier more a thirty plus twenty,And then this one obviously is is um purple and yellow this one's yeah it's it's a lot more definitely ok so it's it's more than thirty wait so this one's thirty,,
31,199.38,201.36,5,Thirty twenty,Plus twenty,,
32,201.39,204.75,5,,,,
33,205.77,218.67,5,This looks almost a little bit heavier but it is it's close enough so fifty is not an option yeah definitely let's put sixty,Yeah so I think fifty because this is fifty right definitely less than sixty,Yeah I'd make it a five if we had a five option,
34,218.73,229.77,5,Less than sixty it's gotta be fifty yeah so ok if we filled this out,And this is thirty right and this is ten so that would be forty so it's more than forty and less than sixty so it's gotta be fifty,Yellow fifty,
35,229.83,233.31,5,Twenty,Ten ten twenty,Ten ten,
