Utterance,Start,End,Group,1,2,3,4
0,11.82,27.57,3,,,,Ok so the test that you are going to be completing today oh I can take those consent forms sorry thank you the test you are going to be completing today is the weights test
1,28.2,32.67,3,,,,In the first part you are going to work together to determine the weights of these blocks
2,33.39,38.04,3,,,,We will tell you that the weight of the red cube is ten grams
3,38.76,42.57,3,,,,You will determine the weights of the remaining cubes using this scale
4,43.68,46.5,3,,,,All of the weights are in intervals of ten grams
5,46.86,50.43,3,,,,You don't need to use the slider or anything 
6,51,58.38,3,,,,And the weights aren't always perfect so if it's teetering it's probably fine
7,58.44,60.57,3,,,,Like it it drops one's probably heavier
8,61.35,64.23,3,,,,Um and then
9,64.26,75.69,3,,,,You will place the cubes on the worksheet where you think they are and you will also record your answers here on this survey here on the computer. You guys will be group three
10,77.91,80.37,3,,,,And you can now start the survey
11,80.55,86.25,3,Alright so shall we,,,
12,86.43,89.4,3,Prepare things for this one,,Yeah,
13,90.33,92.46,3,,,,
14,95.52,99.06,3,,,,
15,101.37,103.74,3,,,,
16,112.41,114.39,3,So you think they're the same wait or,,,
17,116.13,118.17,3,They're still teetering,,,
18,119.37,121.53,3,,,,
19,129.21,134.16,3,,,,
20,135.15,137.13,3,,,,
21,138.33,140.46,3,,,,
22,142.38,147.27,3,I think they're the same weight yeah so,I think they're the same weight,,
23,148.62,152.4,3,So the  ,,So  ,
24,152.43,155.22,3,,,Um  ,
25,155.67,157.95,3,,,,
26,159.15,162,3,So,,So,
27,162.45,165.36,3,,,The blue one is also ten right,
28,165.45,167.82,3,Right,,So I should indicate it as ten,
29,168.99,171.72,3,Um I'm going to see if there's a lighter one,,,
30,179.07,181.11,3,,,,
31,183.78,185.76,3,,,,
32,186.96,192.42,3,The suspense is killing me it takes forever,,,
33,207.42,209.4,3,,,,
34,212.13,219.93,3,Sufficient to say that one's probably twenty or,,Yes it's probably twenty so green one is twenty,
35,219.96,226.53,3,What do you want,Then well  I want to check if N A block is thirty,,
36,227.61,229.92,3,,,,
37,232.32,235.65,3,I think that's a good guess,,,
38,236.34,238.32,3,,So,,
39,238.47,240.45,3,,The purple one is thirty,,
40,241.8,246,3,,Which one is the one which is purple,Purple is thirty yeah,
41,246.36,250.86,3,I think this is more purple-y,Hold that purple,This is blue maybe,
42,251.49,253.47,3,Um,,,
43,254.04,264.18,3,This one feels just a smidge heavier yeah try that one,,,
44,264.21,268.29,3,,Green and this one,Green is twenty right,
45,268.35,272.58,3,,,Green is twenty and purple is thirty so it weighs to fifty,
46,274.95,277.05,3,It seems to be,,,
47,277.53,281.43,3,It's leaning more to the side,Yeah I mentioned here green is twenty,,
48,285.18,287.82,3,,It's leaning more to the side,,
49,288.93,294.3,3,,,So how about yellow,
50,295.29,300.96,3,,Then green is twenty and they weigh,Uh put both on top please,
51,302.91,305.34,3,,,Yeah just to confirm,
52,305.46,310.8,3,Wait purple is how much,,Purple is thirty,
53,314.1,317.43,3,And green is ,,Yellow is not ten,
54,318.6,320.58,3,Twenty,,,
55,322.83,324.81,3,,,,
56,326.85,330.69,3,Have we tried these two and the green one cause it's,,,
57,331.05,333.57,3,Kinda dipping,,,
58,333.69,335.82,3,,,,
59,336.06,341.55,3,Nope that's too light ok too light,,No so when we try these both,
60,344.01,348.36,3,That is equivalent to the,,So I feel the low is fifty,
61,348.96,352.41,3,,,,
62,356.19,359.46,3,,,This has thirty and twenty,
63,359.91,362.94,3,,,Yeah green is twenty and purple is thirty,
64,366.06,371.16,3,,It's for sure not thirty,,
65,371.49,378.24,3,So if you put the purple just to verify all of our weights are correct,,,
66,378.27,380.25,3,Uh,,,
67,396.69,404.73,3,It must be this right because comparing it to forty it's,Fifty,Fifty yeah,
68,405.48,407.64,3,Not that heavy,,,
69,408.93,411.03,3,So are we done,,,
70,413.94,415.92,3,Try it,,,
71,416.34,418.5,3,,,,
72,418.92,422.85,3,,,,
73,423.09,426.93,3,,,,
74,427.92,430.44,3,,,Twenty green yeah,
75,431.58,435.75,3,,Thirty and yellow is fifty,Thirty and this is fifty,
76,435.78,440.73,3,,Maybe we should try those things here,,
77,444.78,447.87,3,Try what then,,Just place the color on top,
78,450.33,453.93,3,,Yes,,And have you guys filled out the survey
79,459.84,466.8,3,,,Uh just till fifty so should I sumbit it,Um did you submit the answer
80,469.65,473.16,3,,,Correct red is ten blue is ten,
81,473.7,489.87,3,Oh fun,,Green is twenty purple is thirty and yellow is fifty yeah good,Ok  so for the next part if the test you are going to determine the weight of this block without using the scale to get the answer
82,490.23,492.21,3,,,,And you can begin now
83,497.58,500.34,3,Think it's a little heavier than the yellow,,,
84,501.12,503.1,3,,,,
85,505.05,507.09,3,,,,
86,507.54,509.85,3,,,,
87,510.21,512.28,3,,,,
88,518.79,522.48,3,Is there a way for us to test it other than just our,,,
89,522.84,524.82,3,Perception,,,
90,532.53,536.73,3,,,I think this is a bit more heavier,
91,537.54,539.52,3,,,So,
92,541.83,547.11,3,,,Maybe ninety or a hundred,
93,548.37,558.03,3,I bet there's a scale app on our phone and I bet it's cheating to download that,,,It's cheating
94,558.69,560.67,3,,,,
95,567.39,569.61,3,,Yeah it could be eighty ninety,,
96,569.88,574.89,3,,Eighty to ninety,I think it is between ninety to a hundred,
97,576.3,581.25,3,,,Because yeah green is twenty thirty and fifty right so,
98,581.31,583.86,3,,,Maybe a hundred or so,
99,584.76,586.74,3,,,,
100,587.04,590.67,3,Is it twice as heavy as the yellow one I can't tell,No it's not,,
101,591.45,596.94,3,Are the wait which one was the fifty one it was the ,,Fifty is yellow yeah,
102,599.13,601.83,3,,It's not twice as heavy as yellow,,
103,609.12,612.06,3,,I think it's between eighty and ninety,,
104,612.33,614.4,3,,,,
